elapsed_s,timestamp,from_state,to_state,ear,perclos,cause,held_s
20.834,19:22:14.005,NORMAL,WARNING,0.0437,4.82,INSTANT,0.00
21.399,19:22:14.570,WARNING,CRITICAL,0.0440,10.07,INSTANT,0.00
22.908,19:22:16.080,CRITICAL,NORMAL,0.3219,14.99,INSTANT,0.00
31.710,19:22:24.882,NORMAL,WARNING,0.0505,11.19,INSTANT,0.00
32.305,19:22:25.476,WARNING,CRITICAL,0.0437,13.69,INSTANT,0.00
33.836,19:22:27.007,CRITICAL,NORMAL,0.3369,14.95,INSTANT,0.00
41.315,19:22:34.486,NORMAL,WARNING,0.0458,13.06,INSTANT,0.00
41.872,19:22:35.043,WARNING,CRITICAL,0.0441,14.93,INSTANT,0.00
43.376,19:22:36.547,CRITICAL,WARNING,0.3348,16.37,PERCLOS,0.00
44.339,19:22:37.511,WARNING,NORMAL,0.3414,16.37,RECOVERED,0.00
45.473,19:22:38.644,NORMAL,WARNING,0.0551,16.46,PERCLOS,0.00
45.574,19:22:38.745,WARNING,NORMAL,0.2367,16.68,RECOVERED,0.00
50.315,19:22:43.486,NORMAL,WARNING,0.1627,16.81,PERCLOS,0.00
51.346,19:22:44.518,WARNING,CRITICAL,0.0499,17.03,INSTANT,0.00
52.849,19:22:46.020,CRITICAL,WARNING,0.3562,16.15,PERCLOS,0.00
53.916,19:22:47.088,WARNING,NORMAL,0.3534,16.15,RECOVERED,0.00
54.077,19:22:47.248,NORMAL,WARNING,0.0633,16.25,PERCLOS,0.00
54.143,19:22:47.314,WARNING,NORMAL,0.2321,16.37,RECOVERED,0.00
56.818,19:22:49.989,NORMAL,WARNING,0.0417,16.48,PERCLOS,0.00
57.022,19:22:50.193,WARNING,NORMAL,0.2550,16.80,RECOVERED,0.00
60.748,19:22:53.919,NORMAL,WARNING,0.0424,16.92,PERCLOS,0.00
63.746,19:22:56.917,WARNING,NORMAL,0.3365,15.06,RECOVERED,0.00
64.351,19:22:57.523,NORMAL,WARNING,0.0472,15.17,PERCLOS,0.00
64.487,19:22:57.658,WARNING,NORMAL,0.2519,15.49,RECOVERED,0.00
67.083,19:23:00.254,NORMAL,WARNING,0.0364,15.38,PERCLOS,0.00
67.256,19:23:00.427,WARNING,NORMAL,0.2301,15.82,RECOVERED,0.00
72.221,19:23:05.392,NORMAL,WARNING,0.0405,12.75,INSTANT,0.00
72.856,19:23:06.027,WARNING,CRITICAL,0.0540,14.55,INSTANT,0.00
74.388,19:23:07.560,CRITICAL,NORMAL,0.3472,14.64,INSTANT,0.00
81.285,19:23:14.457,NORMAL,WARNING,0.0536,12.54,INSTANT,0.00
81.860,19:23:15.032,WARNING,CRITICAL,0.0403,12.54,INSTANT,0.00
83.402,19:23:16.573,CRITICAL,NORMAL,0.3520,13.65,INSTANT,0.00
91.289,19:23:24.461,NORMAL,WARNING,0.0508,12.35,INSTANT,0.00
91.861,19:23:25.032,WARNING,CRITICAL,0.0467,12.79,INSTANT,0.00
93.399,19:23:26.570,CRITICAL,NORMAL,0.3523,14.22,INSTANT,0.00
101.407,19:23:34.578,NORMAL,WARNING,0.0533,14.71,INSTANT,0.00
102.006,19:23:35.177,WARNING,CRITICAL,0.0419,16.02,INSTANT,0.00
103.535,19:23:36.706,CRITICAL,NORMAL,0.3473,14.70,INSTANT,0.00
110.810,19:23:43.981,NORMAL,WARNING,0.0568,15.07,PERCLOS,0.00
111.765,19:23:44.937,WARNING,CRITICAL,0.0423,15.16,INSTANT,0.00
113.270,19:23:46.442,CRITICAL,WARNING,0.3623,15.26,PERCLOS,0.00
114.301,19:23:47.473,WARNING,NORMAL,0.3492,15.26,RECOVERED,0.00
118.103,19:23:51.274,NORMAL,WARNING,0.0473,15.37,PERCLOS,0.00
118.203,19:23:51.374,WARNING,NORMAL,0.2295,15.59,RECOVERED,0.00
