elapsed_s,timestamp,from_state,to_state,ear,perclos,cause,held_s
20.959,19:36:13.743,NORMAL,WARNING,0.0274,4.36,INSTANT,0.00
21.552,19:36:14.337,WARNING,CRITICAL,0.0264,9.60,INSTANT,0.00
23.087,19:36:15.871,CRITICAL,NORMAL,0.3060,11.92,INSTANT,0.00
30.986,19:36:23.770,NORMAL,WARNING,0.0330,10.74,INSTANT,0.00
31.587,19:36:24.372,WARNING,CRITICAL,0.0288,13.31,INSTANT,0.00
33.119,19:36:25.903,CRITICAL,WARNING,0.3146,14.48,PERCLOS,0.00
34.122,19:36:26.906,WARNING,NORMAL,0.2971,14.45,RECOVERED,0.00
35.926,19:36:28.711,NORMAL,WARNING,0.0408,13.56,PERCLOS,0.00
36.055,19:36:28.840,WARNING,NORMAL,0.2275,13.89,RECOVERED,0.00
37.528,19:36:30.312,NORMAL,WARNING,0.1195,13.24,PERCLOS,0.00
37.724,19:36:30.508,WARNING,NORMAL,0.2384,13.75,RECOVERED,0.00
40.428,19:36:33.212,NORMAL,WARNING,0.1730,12.63,PERCLOS,0.00
41.456,19:36:34.241,WARNING,CRITICAL,0.0244,15.91,INSTANT,0.00
42.970,19:36:35.755,CRITICAL,WARNING,0.3131,17.14,PERCLOS,0.00
43.899,19:36:36.683,WARNING,NORMAL,0.3233,17.13,RECOVERED,0.00
44.659,19:36:37.443,NORMAL,WARNING,0.0373,17.22,PERCLOS,0.00
44.759,19:36:37.543,WARNING,NORMAL,0.2259,17.44,RECOVERED,0.00
46.793,19:36:39.578,NORMAL,WARNING,0.0378,17.55,PERCLOS,0.00
46.929,19:36:39.713,WARNING,NORMAL,0.2581,17.90,RECOVERED,0.00
49.259,19:36:42.043,NORMAL,WARNING,0.0442,18.00,PERCLOS,0.00
49.398,19:36:42.182,WARNING,NORMAL,0.2441,18.34,RECOVERED,0.00
50.892,19:36:43.676,NORMAL,WARNING,0.0364,17.22,PERCLOS,0.00
51.898,19:36:44.682,WARNING,CRITICAL,0.0379,17.23,INSTANT,0.00
53.428,19:36:46.212,CRITICAL,WARNING,0.3091,19.11,PERCLOS,0.00
54.594,19:36:47.379,WARNING,NORMAL,0.3207,19.10,RECOVERED,0.00
54.762,19:36:47.546,NORMAL,WARNING,0.1224,19.21,PERCLOS,0.00
54.898,19:36:47.682,WARNING,NORMAL,0.2316,19.54,RECOVERED,0.00
57.595,19:36:50.379,NORMAL,WARNING,0.1878,19.18,PERCLOS,0.00
57.796,19:36:50.580,WARNING,NORMAL,0.2594,19.44,RECOVERED,0.00
60.706,19:36:53.490,NORMAL,WARNING,0.0408,18.99,PERCLOS,0.00
61.729,19:36:54.513,WARNING,CRITICAL,0.0415,18.98,INSTANT,0.00
63.239,19:36:56.023,CRITICAL,WARNING,0.3151,19.32,PERCLOS,0.00
64.199,19:36:56.983,WARNING,NORMAL,0.3225,18.87,RECOVERED,0.00
65.938,19:36:58.722,NORMAL,WARNING,0.0541,18.83,PERCLOS,0.00
66.034,19:36:58.819,WARNING,NORMAL,0.2340,18.71,RECOVERED,0.00
70.639,19:37:03.423,NORMAL,WARNING,0.0416,17.37,PERCLOS,0.00
71.670,19:37:04.454,WARNING,CRITICAL,0.0395,17.38,INSTANT,0.00
73.201,19:37:05.985,CRITICAL,WARNING,0.3305,17.93,PERCLOS,0.00
74.040,19:37:06.824,WARNING,NORMAL,0.3316,17.93,RECOVERED,0.00
76.007,19:37:08.791,NORMAL,WARNING,0.0343,17.73,PERCLOS,0.00
76.108,19:37:08.893,WARNING,NORMAL,0.2460,17.95,RECOVERED,0.00
79.513,19:37:12.297,NORMAL,WARNING,0.0643,17.16,PERCLOS,0.00
79.652,19:37:12.437,WARNING,NORMAL,0.2495,17.47,RECOVERED,0.00
83.315,19:37:16.099,NORMAL,WARNING,0.0401,13.39,INSTANT,0.00
83.879,19:37:16.663,WARNING,CRITICAL,0.0404,15.26,INSTANT,0.00
85.381,19:37:18.165,CRITICAL,WARNING,0.3587,15.61,PERCLOS,0.00
86.177,19:37:18.961,WARNING,NORMAL,0.3614,15.61,RECOVERED,0.00
86.542,19:37:19.327,NORMAL,WARNING,0.0398,15.71,PERCLOS,0.00
86.643,19:37:19.428,WARNING,NORMAL,0.2301,15.94,RECOVERED,0.00
88.744,19:37:21.528,NORMAL,WARNING,0.1027,15.37,PERCLOS,0.00
88.916,19:37:21.701,WARNING,NORMAL,0.2411,15.86,RECOVERED,0.00
90.610,19:37:23.394,NORMAL,WARNING,0.0417,15.95,PERCLOS,0.00
91.610,19:37:24.394,WARNING,CRITICAL,0.0409,16.19,INSTANT,0.00
93.119,19:37:25.903,CRITICAL,WARNING,0.3293,16.95,PERCLOS,0.00
94.477,19:37:27.261,WARNING,NORMAL,0.3152,17.38,RECOVERED,0.00
96.382,19:37:29.166,NORMAL,WARNING,0.1307,17.17,PERCLOS,0.00
96.610,19:37:29.394,WARNING,NORMAL,0.2490,17.85,RECOVERED,0.00
98.378,19:37:31.163,NORMAL,WARNING,0.0517,17.96,PERCLOS,0.00
98.585,19:37:31.369,WARNING,NORMAL,0.2382,18.52,RECOVERED,0.00
100.812,19:37:33.597,NORMAL,WARNING,0.0405,17.96,PERCLOS,0.00
101.814,19:37:34.598,WARNING,CRITICAL,0.0420,17.96,INSTANT,0.00
103.314,19:37:36.099,CRITICAL,WARNING,0.3393,21.54,PERCLOS,0.00
105.125,19:37:37.910,WARNING,NORMAL,0.3517,21.95,RECOVERED,0.00
107.115,19:37:39.899,NORMAL,WARNING,0.0494,21.74,PERCLOS,0.00
107.250,19:37:40.034,WARNING,NORMAL,0.2464,22.08,RECOVERED,0.00
110.724,19:37:43.508,NORMAL,WARNING,0.1328,21.77,PERCLOS,0.00
111.727,19:37:44.512,WARNING,CRITICAL,0.0448,25.11,INSTANT,0.00
114.420,19:37:47.204,CRITICAL,NORMAL,0.3398,23.47,RECOVERED,0.00
117.661,19:37:50.445,NORMAL,CRITICAL,0.0548,23.28,PERCLOS,0.00
117.750,19:37:50.534,CRITICAL,NORMAL,0.2563,23.48,RECOVERED,0.00
