elapsed_s,timestamp,from_state,to_state,ear,perclos,cause,held_s
51.561,18:13:05.791,NORMAL,MICROSLEEP,0.0249,5.84,EYE_CLOSURE,39.88
53.271,18:13:07.501,MICROSLEEP,NORMAL,0.2583,6.27,EYE_CLOSURE,1.71
62.032,18:13:16.263,NORMAL,MICROSLEEP,0.0272,7.68,EYE_CLOSURE,8.76
64.038,18:13:18.269,MICROSLEEP,SLEEP,0.0244,11.22,EYE_CLOSURE,2.01
64.039,18:13:18.270,VEHICLE,ADAS_SENSITIVE_MODE,0.0244,11.22,eye closure >= 3s,0.00
64.934,18:13:19.164,AWAKE,DROWSY,0.2139,12.65,MICROSLEEP_COUNT,0.00
64.935,18:13:19.165,VEHICLE,SUGGEST_REST_AREA,0.2139,12.65,MICROSLEEP_COUNT,0.00
66.434,18:13:20.664,SLEEP,NORMAL,0.0453,12.35,EYE_CLOSURE,2.40
66.434,18:13:20.664,VEHICLE,ADAS_NORMAL_MODE,0.0453,12.35,driver recovered,0.00
81.819,18:13:36.049,NORMAL,MICROSLEEP,0.0130,12.69,EYE_CLOSURE,15.38
83.821,18:13:38.051,MICROSLEEP,SLEEP,0.0345,16.03,EYE_CLOSURE,2.00
83.822,18:13:38.052,VEHICLE,ADAS_SENSITIVE_MODE,0.0345,16.03,eye closure >= 3s,0.00
93.821,18:13:48.051,SLEEP,UNRESPONSIVE,0.0301,31.55,EYE_CLOSURE,10.00
93.821,18:13:48.051,VEHICLE,HAZARD_LIGHTS_ON,0.0301,31.55,no response >= 13s,0.00
93.821,18:13:48.051,VEHICLE,DECELERATE,0.0301,31.55,no response >= 13s,0.00
93.822,18:13:48.052,VEHICLE,PULL_OVER_MRM,0.0301,31.55,no response >= 13s,0.00
100.955,18:13:55.185,UNRESPONSIVE,NORMAL,0.2704,35.64,DRIVER_OVERRIDE,7.13
100.957,18:13:55.187,VEHICLE,INTERVENTION_CANCELLED,0.2704,35.64,driver override (C key),0.00
