elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,state,cause,face_detected
10.755,31.7,0.2969,0,0.000,0.00,NORMAL,INSTANT,1
10.794,32.2,0.2984,0,0.000,0.00,NORMAL,INSTANT,1
10.826,31.5,0.2968,0,0.000,0.00,NORMAL,INSTANT,1
10.853,31.5,0.2942,0,0.000,0.00,NORMAL,INSTANT,1
10.884,32.1,0.2933,0,0.000,0.00,NORMAL,INSTANT,1
10.923,32.1,0.2937,0,0.000,0.00,NORMAL,INSTANT,1
10.953,31.5,0.2980,0,0.000,0.00,NORMAL,INSTANT,1
11.002,31.7,0.2928,0,0.000,0.00,NORMAL,INSTANT,1
11.022,30.5,0.2934,0,0.000,0.00,NORMAL,INSTANT,1
11.052,32.6,0.2949,0,0.000,0.00,NORMAL,INSTANT,1
11.085,32.6,0.2907,0,0.000,0.00,NORMAL,INSTANT,1
11.127,32.4,0.2956,0,0.000,0.00,NORMAL,INSTANT,1
11.159,31.6,0.2963,0,0.000,0.00,NORMAL,INSTANT,1
11.223,31.5,0.2913,0,0.000,0.00,NORMAL,INSTANT,1
11.238,29.9,0.2872,0,0.000,0.00,NORMAL,INSTANT,1
11.260,33.8,0.2807,0,0.000,0.00,NORMAL,INSTANT,1
11.287,34.9,0.2877,0,0.000,0.00,NORMAL,INSTANT,1
11.329,35.0,0.2971,0,0.000,0.00,NORMAL,INSTANT,1
11.358,33.9,0.3025,0,0.000,0.00,NORMAL,INSTANT,1
11.393,33.9,0.2967,0,0.000,0.00,NORMAL,INSTANT,1
11.426,33.4,0.2967,0,0.000,0.00,NORMAL,INSTANT,1
11.463,33.1,0.3043,0,0.000,0.00,NORMAL,INSTANT,1
11.487,32.5,0.3156,0,0.000,0.00,NORMAL,INSTANT,1
11.520,33.3,0.3113,0,0.000,0.00,NORMAL,INSTANT,1
11.559,33.1,0.3124,0,0.000,0.00,NORMAL,INSTANT,1
11.592,32.4,0.3056,0,0.000,0.00,NORMAL,INSTANT,1
11.624,32.1,0.3112,0,0.000,0.00,NORMAL,INSTANT,1
11.660,32.1,0.3144,0,0.000,0.00,NORMAL,INSTANT,1
11.688,31.6,0.3121,0,0.000,0.00,NORMAL,INSTANT,1
11.724,31.9,0.3162,0,0.000,0.00,NORMAL,INSTANT,1
11.756,31.6,0.3124,0,0.000,0.00,NORMAL,INSTANT,1
11.797,31.5,0.3149,0,0.000,0.00,NORMAL,INSTANT,1
11.824,30.8,0.3069,0,0.000,0.00,NORMAL,INSTANT,1
11.856,31.4,0.3039,0,0.000,0.00,NORMAL,INSTANT,1
11.892,31.4,0.3070,0,0.000,0.00,NORMAL,INSTANT,1
11.926,31.0,0.3120,0,0.000,0.00,NORMAL,INSTANT,1
11.956,30.9,0.3182,0,0.000,0.00,NORMAL,INSTANT,1
11.990,31.1,0.3121,0,0.000,0.00,NORMAL,INSTANT,1
12.025,30.9,0.3157,0,0.000,0.00,NORMAL,INSTANT,1
12.061,30.7,0.3141,0,0.000,0.00,NORMAL,INSTANT,1
12.092,30.4,0.3143,0,0.000,0.00,NORMAL,INSTANT,1
12.130,30.6,0.3097,0,0.000,0.00,NORMAL,INSTANT,1
12.158,30.1,0.3121,0,0.000,0.00,NORMAL,INSTANT,1
12.194,30.8,0.3201,0,0.000,0.00,NORMAL,INSTANT,1
12.225,30.5,0.3082,0,0.000,0.00,NORMAL,INSTANT,1
12.261,30.6,0.3078,0,0.000,0.00,NORMAL,INSTANT,1
12.288,30.5,0.3069,0,0.000,0.00,NORMAL,INSTANT,1
12.324,31.0,0.3097,0,0.000,0.00,NORMAL,INSTANT,1
12.355,30.6,0.3007,0,0.000,0.00,NORMAL,INSTANT,1
12.391,30.8,0.3083,0,0.000,0.00,NORMAL,INSTANT,1
12.420,30.5,0.3091,0,0.000,0.00,NORMAL,INSTANT,1
12.460,30.9,0.3074,0,0.000,0.00,NORMAL,INSTANT,1
12.490,30.3,0.3051,0,0.000,0.00,NORMAL,INSTANT,1
12.522,30.6,0.3100,0,0.000,0.00,NORMAL,INSTANT,1
12.554,30.7,0.3121,0,0.000,0.00,NORMAL,INSTANT,1
12.586,30.8,0.3102,0,0.000,0.00,NORMAL,INSTANT,1
12.619,30.7,0.3102,0,0.000,0.00,NORMAL,INSTANT,1
12.663,30.8,0.3094,0,0.000,0.00,NORMAL,INSTANT,1
12.693,29.9,0.3101,0,0.000,0.00,NORMAL,INSTANT,1
12.732,30.3,0.3119,0,0.000,0.00,NORMAL,INSTANT,1
12.757,29.8,0.3155,0,0.000,0.00,NORMAL,RECOVERED,1
12.802,30.9,0.3244,0,0.000,0.00,NORMAL,RECOVERED,1
12.824,30.0,0.3306,0,0.000,0.00,NORMAL,RECOVERED,1
12.858,31.5,0.3218,0,0.000,0.00,NORMAL,RECOVERED,1
12.890,31.3,0.3237,0,0.000,0.00,NORMAL,RECOVERED,1
12.924,31.3,0.3161,0,0.000,0.00,NORMAL,RECOVERED,1
12.950,31.1,0.3091,0,0.000,0.00,NORMAL,RECOVERED,1
12.988,31.9,0.3089,0,0.000,0.00,NORMAL,RECOVERED,1
13.016,31.3,0.3060,0,0.000,0.00,NORMAL,RECOVERED,1
13.055,31.7,0.3024,0,0.000,0.00,NORMAL,RECOVERED,1
13.086,31.1,0.3025,0,0.000,0.00,NORMAL,RECOVERED,1
13.127,31.2,0.3010,0,0.000,0.00,NORMAL,RECOVERED,1
13.162,30.5,0.3013,0,0.000,0.00,NORMAL,RECOVERED,1
13.197,30.3,0.2947,0,0.000,0.00,NORMAL,RECOVERED,1
13.223,30.1,0.2868,0,0.000,0.00,NORMAL,RECOVERED,1
13.256,30.9,0.2724,0,0.000,0.00,NORMAL,RECOVERED,1
13.290,30.9,0.2693,0,0.000,0.00,NORMAL,RECOVERED,1
13.326,30.8,0.2791,0,0.000,0.00,NORMAL,RECOVERED,1
13.359,30.5,0.2800,0,0.000,0.00,NORMAL,RECOVERED,1
