elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,state,cause,face_detected
11.198,30.8,0.3367,0,0.000,0.00,NORMAL,INSTANT,1
11.228,30.4,0.3358,0,0.000,0.00,NORMAL,INSTANT,1
11.259,30.7,0.3370,0,0.000,0.00,NORMAL,INSTANT,1
11.295,30.9,0.3411,0,0.000,0.00,NORMAL,INSTANT,1
11.325,30.5,0.3413,0,0.000,0.00,NORMAL,INSTANT,1
11.361,30.8,0.3371,0,0.000,0.00,NORMAL,INSTANT,1
11.393,30.6,0.3383,0,0.000,0.00,NORMAL,INSTANT,1
11.435,30.6,0.3244,0,0.000,0.00,NORMAL,INSTANT,1
11.461,29.9,0.3110,0,0.000,0.00,NORMAL,INSTANT,1
11.494,30.7,0.3124,0,0.000,0.00,NORMAL,INSTANT,1
11.524,30.7,0.3182,0,0.000,0.00,NORMAL,INSTANT,1
11.565,30.9,0.3189,0,0.000,0.00,NORMAL,INSTANT,1
11.592,30.3,0.3209,0,0.000,0.00,NORMAL,INSTANT,1
11.631,31.0,0.3164,0,0.000,0.00,NORMAL,INSTANT,1
11.660,30.4,0.3208,0,0.000,0.00,NORMAL,INSTANT,1
11.695,30.8,0.3162,0,0.000,0.00,NORMAL,INSTANT,1
11.728,30.6,0.3164,0,0.000,0.00,NORMAL,INSTANT,1
11.768,30.6,0.3161,0,0.000,0.00,NORMAL,INSTANT,1
11.792,30.1,0.3151,0,0.000,0.00,NORMAL,INSTANT,1
11.826,31.3,0.3132,0,0.000,0.00,NORMAL,INSTANT,1
11.866,31.0,0.3177,0,0.000,0.00,NORMAL,INSTANT,1
11.895,30.4,0.3130,0,0.000,0.00,NORMAL,INSTANT,1
11.926,30.9,0.3101,0,0.000,0.00,NORMAL,INSTANT,1
11.960,31.1,0.3140,0,0.000,0.00,NORMAL,INSTANT,1
11.999,30.9,0.2966,0,0.000,0.00,NORMAL,INSTANT,1
12.026,30.4,0.3015,0,0.000,0.00,NORMAL,INSTANT,1
12.059,30.9,0.3044,0,0.000,0.00,NORMAL,INSTANT,1
