elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,state,cause,face_detected
10.788,30.5,0.2491,0,0.000,0.00,NORMAL,INSTANT,1
10.817,30.1,0.2538,0,0.000,0.00,NORMAL,INSTANT,1
10.845,30.5,0.2674,0,0.000,0.00,NORMAL,INSTANT,1
10.878,31.0,0.2746,0,0.000,0.00,NORMAL,INSTANT,1
10.912,31.0,0.2732,0,0.000,0.00,NORMAL,INSTANT,1
10.951,30.9,0.2766,0,0.000,0.00,NORMAL,INSTANT,1
10.976,30.3,0.2811,0,0.000,0.00,NORMAL,INSTANT,1
11.011,31.4,0.2841,0,0.000,0.00,NORMAL,INSTANT,1
11.047,31.0,0.2880,0,0.000,0.00,NORMAL,INSTANT,1
11.079,30.7,0.2875,0,0.000,0.00,NORMAL,INSTANT,1
11.111,30.8,0.2889,0,0.000,0.00,NORMAL,INSTANT,1
11.148,30.8,0.2872,0,0.000,0.00,NORMAL,INSTANT,1
11.179,30.4,0.2906,0,0.000,0.00,NORMAL,INSTANT,1
11.215,30.7,0.2949,0,0.000,0.00,NORMAL,INSTANT,1
11.246,30.3,0.2948,0,0.000,0.00,NORMAL,INSTANT,1
11.293,30.6,0.2940,0,0.000,0.00,NORMAL,INSTANT,1
11.313,29.6,0.2871,0,0.000,0.00,NORMAL,INSTANT,1
11.347,31.6,0.2931,0,0.000,0.00,NORMAL,INSTANT,1
11.381,31.5,0.2951,0,0.000,0.00,NORMAL,INSTANT,1
11.416,31.2,0.3055,0,0.000,0.00,NORMAL,INSTANT,1
11.446,31.0,0.3118,0,0.000,0.00,NORMAL,INSTANT,1
11.480,31.2,0.3131,0,0.000,0.00,NORMAL,INSTANT,1
11.513,31.0,0.3182,0,0.000,0.00,NORMAL,INSTANT,1
11.546,30.9,0.3128,0,0.000,0.00,NORMAL,INSTANT,1
11.587,30.9,0.3139,0,0.000,0.00,NORMAL,INSTANT,1
11.624,30.2,0.3182,0,0.000,0.00,NORMAL,INSTANT,1
11.646,29.9,0.3213,0,0.000,0.00,NORMAL,INSTANT,1
11.686,31.5,0.3220,0,0.000,0.00,NORMAL,INSTANT,1
11.719,30.8,0.3217,0,0.000,0.00,NORMAL,INSTANT,1
11.752,30.8,0.3158,0,0.000,0.00,NORMAL,INSTANT,1
11.791,30.7,0.3228,0,0.000,0.00,NORMAL,INSTANT,1
11.814,30.2,0.3222,0,0.000,0.00,NORMAL,INSTANT,1
11.843,31.4,0.3234,0,0.000,0.00,NORMAL,INSTANT,1
11.886,31.8,0.3281,0,0.000,0.00,NORMAL,INSTANT,1
11.910,30.9,0.3245,0,0.000,0.00,NORMAL,INSTANT,1
11.952,31.9,0.3168,0,0.000,0.00,NORMAL,INSTANT,1
11.981,31.1,0.3139,0,0.000,0.00,NORMAL,INSTANT,1
12.016,31.5,0.3116,0,0.000,0.00,NORMAL,INSTANT,1
12.053,31.2,0.3156,0,0.000,0.00,NORMAL,INSTANT,1
12.082,30.8,0.3123,0,0.000,0.00,NORMAL,INSTANT,1
12.113,31.2,0.3106,0,0.000,0.00,NORMAL,INSTANT,1
12.147,31.3,0.3185,0,0.000,0.00,NORMAL,INSTANT,1
12.179,31.1,0.3163,0,0.000,0.00,NORMAL,INSTANT,1
12.213,31.2,0.3153,0,0.000,0.00,NORMAL,INSTANT,1
12.246,31.1,0.3259,0,0.000,0.00,NORMAL,INSTANT,1
12.286,30.8,0.3196,0,0.000,0.00,NORMAL,INSTANT,1
12.312,30.3,0.3220,0,0.000,0.00,NORMAL,INSTANT,1
12.347,31.0,0.3237,0,0.000,0.00,NORMAL,INSTANT,1
12.380,30.8,0.3252,0,0.000,0.00,NORMAL,INSTANT,1
12.413,30.7,0.3245,0,0.000,0.00,NORMAL,INSTANT,1
12.445,30.7,0.3243,0,0.000,0.00,NORMAL,INSTANT,1
12.485,30.8,0.3240,0,0.000,0.00,NORMAL,INSTANT,1
12.512,30.2,0.3231,0,0.000,0.00,NORMAL,INSTANT,1
12.553,30.9,0.3210,0,0.000,0.00,NORMAL,INSTANT,1
12.578,30.2,0.3246,0,0.000,0.00,NORMAL,INSTANT,1
12.613,31.2,0.3221,0,0.000,0.00,NORMAL,INSTANT,1
12.644,30.9,0.3320,0,0.000,0.00,NORMAL,INSTANT,1
12.680,31.1,0.3204,0,0.000,0.00,NORMAL,INSTANT,1
12.712,30.8,0.3271,0,0.000,0.00,NORMAL,INSTANT,1
12.747,30.8,0.3298,0,0.000,0.00,NORMAL,INSTANT,1
12.778,30.6,0.3262,0,0.000,0.00,NORMAL,INSTANT,1
12.815,30.7,0.3267,0,0.000,0.00,NORMAL,RECOVERED,1
12.844,30.4,0.3268,0,0.000,0.00,NORMAL,RECOVERED,1
12.886,30.8,0.3266,0,0.000,0.00,NORMAL,RECOVERED,1
12.911,30.1,0.3287,0,0.000,0.00,NORMAL,RECOVERED,1
12.954,31.0,0.3321,0,0.000,0.00,NORMAL,RECOVERED,1
12.978,30.2,0.3328,0,0.000,0.00,NORMAL,RECOVERED,1
13.021,31.4,0.3241,0,0.000,0.00,NORMAL,RECOVERED,1
13.044,30.6,0.3274,0,0.000,0.00,NORMAL,RECOVERED,1
13.080,31.8,0.3313,0,0.000,0.00,NORMAL,RECOVERED,1
13.113,31.5,0.3201,0,0.000,0.00,NORMAL,RECOVERED,1
13.150,31.4,0.3243,0,0.000,0.00,NORMAL,RECOVERED,1
13.178,30.9,0.3322,0,0.000,0.00,NORMAL,RECOVERED,1
13.220,31.4,0.3314,0,0.000,0.00,NORMAL,RECOVERED,1
13.250,30.6,0.3268,0,0.000,0.00,NORMAL,RECOVERED,1
13.285,30.9,0.3290,0,0.000,0.00,NORMAL,RECOVERED,1
13.316,30.7,0.3281,0,0.000,0.00,NORMAL,RECOVERED,1
13.355,30.9,0.3249,0,0.000,0.00,NORMAL,RECOVERED,1
13.378,30.3,0.3270,0,0.000,0.00,NORMAL,RECOVERED,1
13.414,31.7,0.3218,0,0.000,0.00,NORMAL,RECOVERED,1
13.446,31.3,0.3229,0,0.000,0.00,NORMAL,RECOVERED,1
13.479,31.3,0.3183,0,0.000,0.00,NORMAL,RECOVERED,1
13.514,31.2,0.3268,0,0.000,0.00,NORMAL,RECOVERED,1
13.553,31.0,0.3193,0,0.000,0.00,NORMAL,RECOVERED,1
13.582,30.4,0.3236,0,0.000,0.00,NORMAL,RECOVERED,1
13.620,30.8,0.3245,0,0.000,0.00,NORMAL,RECOVERED,1
13.646,30.4,0.3220,0,0.000,0.00,NORMAL,RECOVERED,1
13.687,31.2,0.3258,0,0.000,0.00,NORMAL,RECOVERED,1
13.717,30.5,0.3288,0,0.000,0.00,NORMAL,RECOVERED,1
13.747,30.8,0.3223,0,0.000,0.00,NORMAL,RECOVERED,1
13.783,31.0,0.3291,0,0.000,0.00,NORMAL,RECOVERED,1
13.817,30.7,0.3288,0,0.000,0.00,NORMAL,RECOVERED,1
13.847,30.5,0.3272,0,0.000,0.00,NORMAL,RECOVERED,1
13.882,30.9,0.3342,0,0.000,0.00,NORMAL,RECOVERED,1
13.915,30.6,0.3354,0,0.000,0.00,NORMAL,RECOVERED,1
13.948,30.6,0.3363,0,0.000,0.00,NORMAL,RECOVERED,1
13.981,30.5,0.3340,0,0.000,0.00,NORMAL,RECOVERED,1
