elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,event_state,drowsy,face_detected
11.724,31.3,0.2650,0,0.000,0.00,NORMAL,0,1
11.749,30.4,0.2658,0,0.000,0.00,NORMAL,0,1
11.780,31.3,0.2732,0,0.000,0.00,NORMAL,0,1
11.812,31.4,0.2803,0,0.000,0.00,NORMAL,0,1
11.854,31.3,0.2808,0,0.000,0.00,NORMAL,0,1
11.880,30.6,0.2794,0,0.000,0.00,NORMAL,0,1
11.915,31.4,0.2892,0,0.000,0.00,NORMAL,0,1
11.945,31.1,0.2852,0,0.000,0.00,NORMAL,0,1
11.996,31.3,0.2841,0,0.000,0.00,NORMAL,0,1
12.017,30.1,0.2844,0,0.000,0.00,NORMAL,0,1
12.058,31.9,0.2874,0,0.000,0.00,NORMAL,0,1
12.089,31.1,0.2922,0,0.000,0.00,NORMAL,0,1
12.125,31.2,0.2933,0,0.000,0.00,NORMAL,0,1
12.156,30.9,0.2912,0,0.000,0.00,NORMAL,0,1
12.203,31.0,0.2851,0,0.000,0.00,NORMAL,0,1
12.243,30.0,0.2836,0,0.000,0.00,NORMAL,0,1
12.259,29.5,0.2779,0,0.000,0.00,NORMAL,0,1
12.290,32.5,0.2814,0,0.000,0.00,NORMAL,0,1
12.327,32.5,0.2859,0,0.000,0.00,NORMAL,0,1
12.356,31.9,0.2817,0,0.000,0.00,NORMAL,0,1
12.393,32.3,0.2855,0,0.000,0.00,NORMAL,0,1
12.424,31.7,0.2847,0,0.000,0.00,NORMAL,0,1
12.457,31.8,0.2796,0,0.000,0.00,NORMAL,0,1
12.491,31.6,0.2876,0,0.000,0.00,NORMAL,0,1
12.538,31.4,0.2952,0,0.000,0.00,NORMAL,0,1
12.552,30.4,0.2985,0,0.000,0.00,NORMAL,0,1
12.592,34.8,0.1931,0,0.000,0.00,NORMAL,0,1
12.622,33.8,0.0658,1,0.000,3.25,NORMAL,0,1
12.661,33.7,0.0374,1,0.038,7.02,NORMAL,0,1
12.688,33.0,0.0568,1,0.066,9.57,NORMAL,0,1
12.726,33.3,0.1472,1,0.104,12.83,NORMAL,0,1
12.754,32.6,0.1966,1,0.131,15.06,NORMAL,0,1
12.793,33.0,0.2189,0,0.000,14.53,NORMAL,0,1
12.822,32.2,0.2370,0,0.000,14.16,NORMAL,0,1
12.860,32.4,0.2445,0,0.000,13.70,NORMAL,0,1
12.879,31.8,0.2508,0,0.000,13.49,NORMAL,0,1
12.914,34.1,0.2539,0,0.000,13.10,NORMAL,0,1
12.946,33.5,0.2505,0,0.000,12.77,NORMAL,0,1
12.984,33.3,0.2505,0,0.000,12.42,NORMAL,0,1
13.013,32.7,0.2488,0,0.000,12.13,NORMAL,0,1
13.048,32.7,0.2451,0,0.000,11.83,NORMAL,0,1
13.079,32.3,0.2292,0,0.000,11.56,NORMAL,0,1
13.115,32.3,0.2360,0,0.000,11.27,NORMAL,0,1
13.146,31.9,0.2451,0,0.000,11.04,NORMAL,0,1
13.185,31.9,0.2509,0,0.000,10.75,NORMAL,0,1
13.212,31.2,0.2515,0,0.000,10.56,NORMAL,0,1
13.253,31.9,0.2577,0,0.000,10.29,NORMAL,0,1
13.283,31.2,0.2655,0,0.000,10.09,NORMAL,0,1
13.314,31.3,0.2670,0,0.000,9.90,NORMAL,0,1
13.344,31.4,0.2733,0,0.000,9.72,NORMAL,0,1
13.382,31.6,0.2784,0,0.000,9.50,NORMAL,0,1
13.413,31.0,0.2801,0,0.000,9.34,NORMAL,0,1
13.451,31.3,0.2858,0,0.000,9.13,NORMAL,0,1
13.480,30.7,0.2877,0,0.000,8.99,NORMAL,0,1
13.525,31.2,0.2851,0,0.000,8.77,NORMAL,0,1
13.550,30.3,0.2847,0,0.000,8.65,NORMAL,0,1
13.584,31.3,0.2866,0,0.000,8.50,NORMAL,0,1
13.623,31.1,0.2885,0,0.000,8.33,NORMAL,0,1
13.649,30.5,0.2926,0,0.000,8.22,NORMAL,0,1
